ensemble_cluster_id,cluster_size,missing_sm,match_letter,picked_idx,confidence,reason,n_candidates
133,3,Tesco,NONE,,0.95,Cluster is Tassimo L'OR Caramel Latte Macchiato Coffee Pods x7 240g. Candidate A is Tassimo Suny Black (different variety/flavour). All other candidates are non,8
134,3,Tesco,NONE,,0.95,Cluster is Tassimo L'OR Latte Macchiato pods x7. Candidate A is Tassimo Suny Black (different variety/flavour). All other candidates are different brands/types ,8
140,2,Morrisons,A,23286.0,0.92,"Good Earth brand, turmeric and lemon flavour, 15 tea bags, 42g weight matches ASDA listing. Ingredient variation (ginger addition) is minor flavour difference b",8
141,3,Tesco,NONE,,0.98,"Cluster is Good Earth Moroccan Mint Tea Bags x15, 27g. No candidate matches this brand, flavour, weight, or pack count. Closest options (A, D) are different bra",8
143,2,Tesco,NONE,,0.98,"Cluster is Nescafé Azera Perky Blenders Craft Instant Coffee 75g. Candidate A is Tesco Finest Decaff Americano Microground (different brand, different variety, ",8
142,2,Tesco,NONE,,0.95,"Cluster is L'OR brand espresso lungo coffee pods (x10 or x20). All Tesco candidates are either different brands (Tesco Finest, Wonderland, Melitta), different f",5
143,2,Morrisons,NONE,,0.95,Cluster is Nescafé Azera Perky Blenders Craft 75g. No candidate matches: A/B/C/D/F are different brands or varieties with wrong weight (100g); E is Morrisons ow,8
144,3,Morrisons,NONE,,0.99,"Cluster contains Lavazza coffee products (beans and capsules). All Morrison candidates are either vaping products (A-G) or non-coffee beverages (E, H). No coffe",8
145,3,Sains,NONE,,0.95,"Cluster is Pukka Peace (specific variety), 20 bags, 30g. Candidate A is Pukka Night Time Berry (different variety). Candidates B-H are either different brands (",8
152,3,Sains,NONE,,0.95,Cluster is Tetley brand camomile tea. Candidate A is Sainsbury's own-brand camomile (different brand). Candidate E is Sainsbury's own-brand with added ingredien,8
153,2,Morrisons,NONE,,0.95,"Cluster is Aero Instant Hot Chocolate (288g), a branded instant hot chocolate powder. No candidate is Aero brand or matches this core product. Option A is a dif",8
149,3,Morrisons,NONE,,0.95,Cluster is Cafedirect Machu Picchu Fairtrade Organic Coffee (200g). Candidates A-C are Morrisons own-brand with different varieties/brands. D-E are Caffe Nero (,8
157,3,Sains,NONE,,0.95,"Cluster is own-brand instant hot chocolate 400g from multiple SMs. Candidates are either different brands (Cadbury, Clipper, Jude's, Creative Nature), different",8
161,3,Tesco,D,50924.0,0.85,Stockwell & Co Hot Chocolate 375g matches the core product (instant hot chocolate) with same weight as ASDA variant. Own-brand match across different supermarke,8
165,2,Morrisons,NONE,,0.99,"Cluster is Cafedirect Organic Mayan Gold Mexico 200g. No candidate matches this specific brand, variety, and weight. All candidates are either different brands ",8
158,3,Tesco,NONE,,0.99,"No Twinings Everyday Tea Bags product from Tesco in candidates. All candidates are different brands/products (Bundaberg, Create A Cake, Tesco own-brand items, o",8
173,2,Morrisons,NONE,,0.95,"Cluster is Twinings Mango & Strawberry with Zesty Lime 20 Tea Bags 50g. Candidate A is Strawberry & Elderflower (different flavour). Candidates B, E, G, H are n",8
173,2,Tesco,NONE,,0.95,None of the candidates match the cluster. The cluster is Twinings Mango & Strawberry with Zesty Lime 20 Tea Bags 50g. Candidates A and B are different Twinings ,8
182,3,Sains,NONE,,0.95,"Cluster is Pukka Chamomile, Vanilla & Manuka Honey 20 bags 32g. No candidate matches: A is Green Tea; B is Lemon/Ginger; C is Chamomile/Cinnamon (not Vanilla); ",8
184,3,Morrisons,NONE,,0.95,"Cluster contains Maltesers brand products (hot chocolate and gift box). No candidate is a Maltesers product. All candidates are different brands (Guylian, Weeto",8
190,3,Tesco,NONE,,0.95,The cluster is Green & Black's Organic Hot Chocolate 250g. None of the candidates match: A is Tesco own-brand (different brand); B is Chocolate Limes (different,8
186,3,Tesco,NONE,,0.95,"Cluster contains Cappuccino (ASDA, Sains) and Latte (Morrisons) varieties in 190g or 15.5g sachets x12. Candidates A, C, D, E are Latte variants but with differ",8
194,2,Tesco,NONE,,0.95,"Cluster is Tetley Super Herbal Sleep Camomile tea (27g herbal tea bags). All candidates are non-tea products (caramel flavour, steak strips, candles, cupcake ca",8
194,2,Sains,NONE,,0.98,"Cluster is Tetley Super Herbal Sleep (Camomile, Vanilla, Lavender) 18 bags 27g. Candidate A is Sainsbury's Camomile, Manuka Honey & Cinnamon (different brand, d",8
195,3,Morrisons,NONE,,0.95,"Cluster is Nescafe Gold Vanilla Latte sachets (8x18.5g, 148-150g total). Candidate A is Gold Latte (different flavour - no vanilla), B is Smooth (wrong variety)",8
201,3,Sains,NONE,,0.98,"Cluster is Nescafe Gold Cappuccino Unsweetened (cappuccino-flavoured instant coffee sachets, 113.6g). Candidate A is Sainsbury's Gold Roast Decaffeinated (diffe",8
204,3,Morrisons,NONE,,0.95,"Cluster is Taylors of Harrogate Flying Start Coffee Bags (coffee product). All candidates (A-H) are vaping/nicotine products (e-cigs, vape bars). Completely dif",8
203,3,Morrisons,NONE,,0.99,"Cluster contains Lavazza coffee capsules (120g, 16-pack). Candidates are all vaping/nicotine products (Kiwi Passion Fruit flavoured bars/crystals). Completely d",8
219,3,Morrisons,A,21587.0,0.95,"Starbucks Caramel flavour, 10 capsules, 50g - matches cluster variety, brand, pack count, and weight (cluster shows 50-51g across listings)",8
215,3,Tesco,NONE,,0.95,"Cluster is Tunnock's Milk Chocolate Tea Cakes (branded product). No Tesco candidate matches: all candidates are either different brands (Tesco own-brand, Rakuse",8
224,3,Sains,A,48953.0,0.85,"Galaxy brand, instant hot chocolate, weight 268g matches cluster range (265-275g). Limited Edition variant in cluster aligns with Galaxy's product line. Same co",8
221,2,Morrisons,NONE,,0.95,"Cluster is Lavazza A Modo Mio Passionale Coffee Capsules (16 pack, 120g). No candidate matches: A-B are Morrisons own-brand ground coffee (100g), F-G are differ",8
227,2,Tesco,NONE,,0.99,Cluster is Lavazza Qualità Oro coffee (1000g). All candidates A-H are wines (750ml bottles). Completely different product categories.,8
223,3,Sains,NONE,,0.99,"The cluster is Bubbleology Fruit Tea Mixology Kit (a branded tea/boba product). None of the Sainsbury's candidates match this brand, product type, or core produ",8
221,2,Tesco,NONE,,0.95,"Cluster is Lavazza A Modo Mio Passionale Coffee Capsules (16 pack, 120g). None of the Tesco candidates match: A and F are Percol coffee bags (different brand, f",8
225,3,Sains,NONE,,0.95,The cluster contains masala chai tea products (Riya's brand and Royal Chai brand). None of the Sainsbury's candidates are masala chai tea. Candidates are: glute,8
228,3,Sains,NONE,,0.95,Cluster is Costa Amazonian Blend 200g (coffee beans/ground). Candidate A is Costa Flat White ready-to-drink (different product type). Candidates B-G are differe,8
229,3,Tesco,NONE,,0.95,"Cluster is Twinings Superblends Immune Support Blackcurrant & Raspberry. Candidate A is Tesco own-brand Immune tea (different brand, different variety). Candida",8
232,2,Tesco,NONE,,0.95,Cluster is ASDA Gold Roast Decaf Instant Granules 200g and Sainsbury's Gold Roast Decaffeinated Instant Coffee Granules 200g - both are Gold Roast branded decaf,8
239,3,Morrisons,NONE,,0.95,"Cluster is Galaxy Vegan Hot Chocolate 250g. No candidate matches: A is Options (different brand), B is Beefy Drink (wrong product), C is Milk Chocolate (not veg",8
241,3,Morrisons,NONE,,0.95,"Cluster contains Costa Coffee Barista Creations pods (10 pods, 16g each). Candidate G is Costa Nescafe Dolce Gusto compatible (different pod system/format). Can",8
240,2,Tesco,NONE,,0.95,"Cluster contains unbranded/own-brand drinking chocolate at 300g. Candidate A is branded (Tesco Finest Santo Domingo) at 250g - different brand, weight, and vari",8
240,2,Morrisons,NONE,,0.95,"The cluster contains drinking chocolate powders (300g dry mix), while candidates are either protein drinks (A, F), confectionery (B, G, H), spread (D), or cerea",8
238,2,Sains,NONE,,0.95,"Cluster is chocolate sponge pudding (hot dessert). Candidate A is sticky toffee (different flavour). Candidates B-H are biscuits, wafers, chocolate bars, chips,",8
249,2,Sains,NONE,,0.95,"Cluster is milkshake MIX (dry powder, 300g) requiring preparation. All candidates are ready-to-drink beverages (liquid, 250-400ml). Different product category a",8
247,3,Morrisons,NONE,,0.95,"Cluster is Green & Black's Organic Cocoa Powder 125g. Candidates A, B, F are Morrisons The Best cocoa products at 100g (different brand, different weight). No c",8
232,2,Morrisons,NONE,,0.95,"Cluster is ASDA/Sainsbury's Gold Roast Decaffeinated Instant Coffee Granules 200g. No Morrison's candidate matches: F is Nescafe Gold (different brand), D is Ta",8
245,3,Tesco,NONE,,0.95,"Cluster contains Twinings Superblends (Metabolism and Wind Down varieties) at 33.2g-40g. Candidates A and B are Twinings Green Tea single varieties (Pear Apple,",8
258,3,Morrisons,NONE,,0.95,"Cluster contains Monin syrups (caramel and grenadine), which are flavoring syrups. All candidates are finished beverages (drinks, yoghurts, protein drinks) or m",8
254,3,Tesco,NONE,,0.95,"Cluster is Nesquik brand milkshake powder 500g. No Tesco candidate matches: A is hot chocolate (different product), B is Yazoo chilled milkshake (different bran",8
250,2,Morrisons,NONE,,0.99,"Cluster is Tea India Ginger Chai 40 tea bags 100g. Candidates are tobacco/alcohol products (cigars, cigarettes, wine). No match possible.",8
262,3,Morrisons,NONE,,0.95,"Cluster is Monin Vanilla Syrup 250ml. No candidate matches: A is oat syrup, B is mandarins in syrup, C is wafer, D is iced coffee, E is yoghurt drink, F is haze",8
236,2,Morrisons,A,30302.0,0.85,"Morrisons Chocolate Fudge Frozen Cake 450g matches the core product (hot/frozen chocolate fudge cake, 450g). 'Frozen' vs 'Hot' in name is a processing differenc",8
267,2,Morrisons,NONE,,0.95,"Cluster is Dolce Gusto Americano Decaffeinato 16x8g capsules (128g). No candidate matches this specific brand, product type (capsules), variety, or format. E an",8
268,2,Tesco,NONE,,0.95,"Cluster is Nescafé Gold Iced Latte Vanilla Cream 7x15g (105g). Candidate B is Caramel Latte (different flavour), C is Mocha (different flavour), E is Sticky Tof",8
242,3,Morrisons,NONE,,0.95,"Cluster contains Costa Coffee Barista Creations pods (branded, coffee pods, 10-pack, 14-16g per pod). Candidates are: A-B are dessert/icing products (wrong cate",8
272,3,Morrisons,NONE,,0.95,Candidate D (Caffe Nero Classico 10 Capsules) is closest but differs in brand (Caffe Nero vs Lavazza) and weight (55g vs 57g). No candidate matches the Lavazza ,8
261,2,Tesco,NONE,,0.99,"Cluster is Nescafe Gold Irish Latte (coffee product), all candidates are alcoholic beverages or candles/cereal - completely different core products",8
269,2,Sains,NONE,,0.99,"No candidate matches the cluster. The cluster is Costa Intensely Dark Amazonian Blend coffee capsules (~57g). Candidates are either different brands (Fybocalm, ",8
279,3,Morrisons,NONE,,0.95,"Candidate B is L'OR Origins Colombia (different variety/flavour from Espresso Vanilla), all other candidates are completely different products (cupcake cases, v",8
266,3,Sains,NONE,,0.95,"Cluster is Costa Millionaires Mocha coffee sachets (6x23g, ~138-140g). No Sainsbury's candidate matches: A is mocha cookies (different product), B is rice cakes",8
269,2,Tesco,NONE,,0.95,"Cluster is Costa Intensely Dark Amazonian Blend capsules (~57g). All candidates are either different brands (Tesco Finest, 7 Days, Creata, Ainsley Harriot), dif",8
284,3,Sains,NONE,,0.99,"Cluster is Bubbleology Taro Milk Bubble Tea (beverage/ready-to-drink), candidates are all confectionery/tea products. No matching bubble tea product from Sainsb",8
290,3,Morrisons,NONE,,0.95,Cluster is Sweetex tablet sweeteners (600-1200 tablets). All candidates are confectionery/snacks/cereal bars - none are sweetener tablets. No match available.,8
276,2,Tesco,A,60595.0,0.75,"Same variety (Ristretto), same pack count (10 capsules), similar weight (54g vs 57g, minor variance acceptable). Different brand (Tesco vs Lavazza) but Ristrett",8
293,2,Sains,NONE,,0.95,Cluster contains two different Twinings varieties (Earl Grey Decaffeinated and Fruit Selection) with inconsistent pack counts (40 and 20 bags). No single candid,8
283,2,Morrisons,NONE,,0.95,"Cluster is Earl Grey tea (specific flavour), 50 tea bags. No candidate is Earl Grey tea bags with 50 count. Option A is Tetley (different brand, different flavo",8
282,3,Morrisons,NONE,,0.95,"Cluster is Starbucks White Mocha pods (120-123g per pod, 12 pack = 1476g total). Candidate A is Cappuccino (different flavour), C is Caramel Latte (different fl",8
278,3,Morrisons,NONE,,0.95,"Cluster is Lavazza Espresso Maestro Decaffeinated (58g, 10 capsules). Candidates B, D, G are Caffe Nero (different brand, ~55g). A and H are Morrisons own-brand",8
303,2,Morrisons,NONE,,0.95,Cluster is Silver Spoon Granulated Sugar 5kg. No candidate matches this brand/product/weight combination. Candidate F (Waffle Amour Sugar Pearl Waffles) contain,8
304,3,Morrisons,NONE,,0.95,"Cluster is caster sugar (fine, castile sugar). Option B is preserving sugar (different variety), Option E is granulated sugar (different variety). No caster sug",8
295,3,Tesco,NONE,,0.95,"Cluster is Twinings brand English Breakfast tea (120 bags, 300-375g). Candidate A is Tesco Finest (different brand), different pack count (100 vs 120), and diff",8
305,2,Morrisons,NONE,,0.95,"Cluster is Silver Spoon Granulated Sugar 2000g. Candidates A-H are tobacco products, waffles, wine, energy drink, and vaping products - none match the core prod",8
307,3,Sains,NONE,,0.95,"Cluster is Silver Spoon brand sugar cubes (500g). Candidates A & B are Sainsbury's own-brand sugars in different forms (caster and granulated, not cubes). No ca",8
297,3,Tesco,NONE,,0.95,"Cluster is Truvia brand sweetener tablets (stevia-based, tablet form). No Tesco candidate matches: A is maple syrup, B is generic sweeteners (unknown type/count",8
318,3,Sains,A,31546.0,0.85,"Same core product (icing sugar), same weight (1kg). Different brand (Sainsbury's own-brand vs Silver Spoon branded), but own-brand equivalent is allowed per rul",8
298,2,Sains,NONE,,0.95,Cluster is Silver Spoon Caster Sugar 2kg. Candidate B is Sainsbury's Fairtrade Demerara Cane Sugar 2kg - different brand (Sainsbury's vs Silver Spoon) and diffe,8
321,3,Sains,NONE,,0.95,Cluster contains Silver Spoon brand products (Demerara and Caster varieties). All Sainsbury's candidates are either own-brand or different brands (House of Cake,8
326,2,Sains,NONE,,0.95,"Cluster is Options brand instant hot chocolate (220g). Candidates A-C are ready-to-drink chocolate milk beverages from different brands (Yazoo, Tom Parker, Coci",8
326,2,Morrisons,NONE,,0.95,"Cluster is Options Instant Belgian Chocolate (instant drink mix, 220g). Candidates A and B are protein drinks (different product category). H is yoghurt drink (",8
305,2,Sains,NONE,,0.95,Cluster is Silver Spoon Granulated Sugar 2kg. Candidate C is Sainsbury's Fairtrade Demerara Cane Sugar 2kg - different brand (Sainsbury's vs Silver Spoon) and d,8
332,3,Sains,NONE,,0.95,"The cluster is Cadbury Highlights Milk Chocolate Drink (a beverage/powder drink mix), 175-180g. None of the Sainsbury's candidates match: A is Yazoo (different ",8
298,2,Morrisons,NONE,,0.99,"Cluster is Silver Spoon Caster Sugar 2000g. Candidates include tobacco products (A, B, D, E, F, H) and unrelated food items (C, G). No caster sugar product from",8
336,2,Morrisons,NONE,,0.95,"No Horlicks Instant Malt Drink product in candidates. Candidates include lighters, tobacco products, filters, and mint sweets - none match the Horlicks instant ",8
337,2,Sains,NONE,,0.99,"Cluster is Drink Me Chai Dirty Chai Latte (chai latte drink). No candidate matches this brand, product type, or variety. A is chocolate milk, B-D and F are Red ",8
337,2,Morrisons,NONE,,0.95,"Cluster is Drink Me Chai Dirty Chai Latte (200g chai latte). No candidate matches: A is Bacardi cocktail mix, B is energy drink, C is gin, D is lighters, E is c",8
335,3,Sains,NONE,,0.95,"Cluster contains instant malted drinks (Horlicks, ASDA, Morrisons brands). Candidates A-C are Indian instant food mixes (Idli, Dahi Wada, Dosai), D-E are hot ch",8
339,2,Sains,NONE,,0.95,"Cluster is Chow Mein Stir Fry Sauce specifically. Candidate A is Teriyaki (different flavour), B is Plum & Hoisin (different flavour), C is Tenderstem (differen",8
329,3,Tesco,NONE,,0.95,"Cluster is Ovaltine Chocolate Light 300g (branded malted drink). No Tesco candidate matches: A/C are own-brand hot chocolate (different brand), D is Maltina (di",8
339,2,Morrisons,NONE,,0.95,Cluster is Chow Mein Stir Fry Sauce (165-170g). Candidate A is Hoisin Sauce (different variety/flavour). No other candidates match the core product type.,8
319,2,Tesco,NONE,,0.95,Cluster contains loose icing sugar (500g powder). Candidates A and D are ready-rolled fondant icing (different product type - pre-made vs loose powder). No exac,8
352,2,Tesco,A,54154.0,0.95,"Tesco Babyleaf Salad 90G matches the cluster's core product: mixed baby leaf salad, 90g, no added flavouring/variety specifications, same as ASDA and Sainsbury'",8
353,3,Tesco,A,58728.0,0.85,"Wild rocket salad, 60g pack - matches core product variety and weight of cluster items (Morrisons and Sainsbury's are both 60g wild rocket). Different brand (Fr",8
345,3,Morrisons,NONE,,0.95,"Cluster is baby vegetable stir fry mix (vegetables only, 190-240g). No Morrisons candidate matches: A/C are meat-based stir fries, B is sauce only, D is berries",8
350,3,Tesco,NONE,,0.95,"Cluster is mixed leaf salad 200g. Candidates A-B are eggs, C is Caesar salad (different variety), D-E are cheese salad (different variety/flavour), F is haddock",8
354,3,Tesco,NONE,,0.95,"Cluster is a generic mixed salad bowl (185-220g). All Tesco candidates are either different product types (salmon, eggs, sandwich filler, cheese, falafel/rice, ",8
357,3,Sains,B,47779.0,0.85,Sainsbury's Garden Tomato is a salad tomato product matching the core product of the cluster (salad tomatoes from own-brand retailers). While weight isn't speci,8
371,3,Tesco,B,53055.0,0.95,"Tesco Butterhead Lettuce is a round lettuce variety, matching the core product (round lettuce) from the cluster. Different supermarket own-brands of the same fr",8
374,2,Tesco,C,59477.0,0.85,Tesco Sweet Peppers matches the core product of mixed peppers from ASDA and Sainsbury's. All are own-brand mixed/sweet peppers with no added ingredients or flav,8
276,2,Morrisons,NONE,,0.99,"Cluster is Lavazza Espresso Maestro Ristretto coffee capsules 10x57g. All candidates are non-coffee products (tobacco, nicotine, snacks, wine). No matching coff",6
376,2,Tesco,NONE,,0.95,"Cluster contains cooked beetroot (500g), candidates are either raw beetroot (A) or slow-cooked meat dishes (B-H). No cooked beetroot product from Tesco matches ",8
377,2,Tesco,NONE,,0.98,The cluster is baby peppers (200g each). Candidate A is a stir fry mix with peppers and sugarsnap peas (not pure baby peppers). No other candidate matches baby ,8
355,3,Morrisons,NONE,,0.95,"The cluster is Florette Classic Crispy Strong Salad 140g (branded product). No Morrisons candidate matches: A & B are Salad Cress (different variety), D is Sala",8
374,2,Morrisons,A,28523.0,0.85,"Morrisons Greengrocer Sweet Mixed Peppers matches the cluster of mixed peppers from ASDA and Sainsbury's. All are own-brand mixed peppers with variable colours,",8
382,3,Tesco,NONE,,0.95,"Cluster is fresh yellow peppers (loose, unpackaged produce). All candidates are processed/prepared food products or flowers. No fresh yellow pepper match availa",8
377,2,Sains,NONE,,0.95,"Cluster is baby peppers 200g. Candidate A is sweet peppers x3 (pack count differs, weight unclear). No Sainsbury's baby peppers 200g match found.",8
385,2,Morrisons,NONE,,0.95,"Cluster is fresh beef tomatoes (individual/each). Candidate A is a bumper pack of generic tomatoes (750g, mixed variety likely). No candidate matches fresh beef",8
386,3,Morrisons,NONE,,0.95,"Cluster specifies ORGANIC cherry tomatoes at 200g. All Morrisons candidates are either non-organic (A, B, C, D, E), wrong product category (F, G), or wrong weig",8
385,2,Sains,A,43327.0,0.85,Sainsbury's Tomatoes Loose matches the core product (beef tomatoes) from the cluster. All three are own-brand loose beef tomatoes from different UK supermarkets,8
396,2,Morrisons,C,28484.0,0.85,"Albert Bartlett Buttergold matches the golden buttery potato variety and 2kg weight from the cluster. While branded (not own-brand), it represents the same core",8
366,3,Tesco,NONE,,0.95,"Cluster is Honey & Mustard Dressing (175ml/150ml). Candidate A is Maple & Mustard (different flavour), B is French Dressing (different flavour), C is Coconut Ch",8
398,3,Tesco,NONE,,0.95,"Cluster contains unbranded/own-brand baby new potatoes (plain, around 500g). Candidates A, D, E, F, G are all branded/flavoured prepared potato dishes (Bombay, ",8
391,3,Morrisons,B,28509.0,0.85,"Morrisons White Potatoes 2000g matches the cluster's core product: unbranded/own-brand baking potatoes, 2kg weight, British origin. White potatoes are standard ",8
404,2,Morrisons,B,28509.0,0.85,Morrisons White Potatoes (2000g) matches the core product - British baking potatoes in 2kg weight. White potatoes are standard baking potatoes. Different own-br,8
406,2,Morrisons,NONE,,0.95,"No Morrisons candidate matches the core product: Mediterranean-style roasted vegetables as a side dish. Candidates A, F, G, H are prepared meals/sauces with oth",8
315,3,Morrisons,NONE,,1.0,"Cluster is Yeo Valley Organic Semi Skimmed Milk 2L. Candidates A-H are all vape products, wine, or cigarettes - completely different product categories. No matc",8
411,2,Morrisons,A,20116.0,0.75,"Both are cheese croquettes in similar weight (240g vs 250g). Brand differs (Morrisons vs Albert Bartlett), but this is own-brand equivalent. However, slight wei",8
378,3,Morrisons,A,29587.0,0.75,"Morrisons Vine Ripened Medi... appears to be Vine Ripened Tomatoes (likely Medium or Medley variant). Matches core product category of vine ripened tomatoes, th",8
406,2,Tesco,NONE,,0.95,"Cluster is Mediterranean style vegetables (ready to roast/cook, vegetable-focused side dish). Candidates A and F are vegetables but wrong type (winter veg, pepp",8
404,2,Tesco,NONE,,0.95,"Cluster specifies 'Baking Potatoes' variety. Candidate A is 'Red Potatoes', B is 'King Edwards', C is 'All Rounder' - all different potato varieties. None match",8
420,2,Tesco,NONE,,0.95,"Cluster is carrot batons (prepared vegetable product), 300g. Option D is mini carrots (whole vegetable), 320g - different product type and weight. No exact matc",8
426,2,Tesco,NONE,,0.95,"Cluster is a mixed vegetable product (carrots, broccoli, AND brussels sprouts together in one pack at 300g). All candidates are either single vegetables (A, B, ",8
434,3,Morrisons,NONE,,0.95,"Cluster is Lisner brand vegetable salad with eggs 500g. No Morrisons candidate matches: A is soup kit, B is salad cress only, C is salad cress only, D is samosa",8
439,3,Morrisons,B,28606.0,0.75,Morrisons The Best Woodland Mushrooms matches the cluster's core product (mixed/specialty mushrooms) and weight (150g). 'Woodland' variety differs slightly from,8
413,3,Sains,H,47580.0,0.85,"Sainsbury's Roasted Garlic Mash Potato is a mash potato product at 400g, matching the core product category and weight of the cluster. While flavour differs (ro",8
435,3,Morrisons,A,28521.0,0.85,"Morrisons Button Mushrooms 200g matches the core product - same variety (button mushrooms), same weight (200g), same own-brand tier as cluster. 'Mild & Tender' ",8
436,2,Sains,NONE,,0.95,"Cluster is Baby Portobello Mushrooms (250g/200g). Candidate A is Chestnut Baby Button Mushrooms (different variety), C is Closed Cup White Mushrooms (different ",8
446,2,Morrisons,NONE,,0.95,"Cluster is Cauliflower & Broccoli (400g). All Morrison candidates are either different vegetables (Carrot & Broccoli), flowers, yogurt, cabbage, or pies. No mat",8
451,3,Tesco,NONE,,0.95,"Cluster contains chopped onion and chopped tomatoes (canned/jarred basics), but all Tesco candidates are fresh/semi-dried tomato products or prepared dishes. Co",8
441,3,Morrisons,A,28482.0,0.65,"Morrisons Large Mild Onions is an onion product matching the core product category. However, variety differs (Mild vs Brown) and pack count/weight unspecified f",8
457,3,Tesco,NONE,,0.95,"Cluster is fresh cauliflower (unbranded vegetable); candidates A-C are prepared cauliflower dishes (pies/cheese), D-H are herb pots. No match for fresh cauliflo",8
454,3,Sains,NONE,,0.99,"Cluster is organic brown onions (500g loose/packaged). Candidates A-H include coq au vin, langoustines, roses, pineapple, and gift items - none are onions or ma",8
461,3,Sains,NONE,,0.95,"Cluster is fresh courgettes (vegetable). All Sainsbury's candidates are either different produce (lettuce, oranges, peach), non-produce items (egg bites, coconu",8
